Publisher
vintage
harpercollins
createspace independent publishing platform
penguin books
ballantine books
bantam
createspace
pocket books
avon
berkley
del rey
tor books
penguin classics
harperteen
simon pulse
grand central publishing
st. martin's press
little, brown books for young readers
harper perennial
signet
penguin
random house
ace
berkley books
mariner books
st. martin's griffin
little, brown and company
orbit
harper
delacorte press
simon & schuster
bethany house publishers
scholastic press
scribner
w. w. norton company
hmh books for young readers
harpercollins publishers
scholastic
scholastic paperbacks
viz media llc
amazon digital services
thomas nelson
dell
دار الشروق
william morrow paperbacks
puffin books
william morrow
grove press
atria books
simon schuster
gallery books
aladdin
knopf
dover publications
tyndale house publishers
anchor
farrar, straus and giroux
razorbill
scholastic inc.
st. martin's paperbacks
simon schuster books for young readers
roc
zondervan
oxford university press
doubleday
g.p. putnam's sons
tokyopop
dc comics
