weather_id,city_name,temperature,unit,condition,conditions_description,timestamp
349,Vilnius,-0.39,Celsius,Clouds,"overcast clouds","2023-11-18 18:24:09"
350,Kharkiv,2,Celsius,Clouds,"overcast clouds","2023-11-18 18:24:09"
351,Milan,11.47,Celsius,Clear,"clear sky","2023-11-18 18:24:09"
352,Moscow,-3.7,Celsius,Clear,"clear sky","2023-11-18 20:24:11"
353,Istanbul,8.87,Celsius,Rain,"light intensity shower rain","2023-11-18 20:24:11"
354,London,14.54,Celsius,Clouds,"overcast clouds","2023-11-18 20:24:11"
355,Berlin,5.79,Celsius,Clouds,"overcast clouds","2023-11-18 20:24:12"
356,"Saint Petersburg",-4.19,Celsius,Clear,"clear sky","2023-11-18 20:24:12"
357,Madrid,16.48,Celsius,Clear,"clear sky","2023-11-18 20:24:12"
358,Rome,14.77,Celsius,Clear,"clear sky","2023-11-18 20:24:13"
359,Bucharest,7.43,Celsius,Clouds,"broken clouds","2023-11-18 20:24:13"
360,Kyiv,2.61,Celsius,Clouds,"overcast clouds","2023-11-18 20:24:13"
361,Paris,11.13,Celsius,Rain,"light rain","2023-11-18 20:24:14"
362,Minsk,-1.14,Celsius,Clouds,"overcast clouds","2023-11-18 20:24:14"
363,Vienna,6.53,Celsius,Clouds,"broken clouds","2023-11-18 20:24:14"
364,Warsaw,0.53,Celsius,Snow,"light snow","2023-11-18 20:24:15"
365,Hamburg,6.05,Celsius,Clear,"clear sky","2023-11-18 20:24:15"
366,Budapest,7.77,Celsius,Clouds,"scattered clouds","2023-11-18 20:24:15"
367,Munich,7.23,Celsius,Clouds,"overcast clouds","2023-11-18 20:24:16"
368,Belgrade,7.56,Celsius,Clouds,"broken clouds","2023-11-18 20:24:16"
369,Barcelona,19.36,Celsius,Clear,"clear sky","2023-11-18 20:24:16"
370,Milan,14.59,Celsius,Clear,"clear sky","2023-11-18 20:24:17"
371,Vilnius,-0.25,Celsius,Clouds,"overcast clouds","2023-11-18 20:24:17"
372,Kharkiv,1.95,Celsius,Clouds,"overcast clouds","2023-11-18 20:24:17"
373,Istanbul,1.68,Celsius,Rain,"light intensity shower rain","2023-11-19 12:36:40"
374,London,11.66,Celsius,Clouds,"overcast clouds","2023-11-19 12:36:40"
375,Moscow,-9.21,Celsius,Clouds,"broken clouds","2023-11-19 12:36:40"
376,Berlin,4.43,Celsius,Drizzle,"light intensity drizzle rain","2023-11-19 12:36:41"
377,Madrid,9.22,Celsius,Clear,"clear sky","2023-11-19 12:36:41"
378,"Saint Petersburg",-5.76,Celsius,Clear,"clear sky","2023-11-19 12:36:41"
379,Rome,11.23,Celsius,Clear,"clear sky","2023-11-19 12:36:41"
380,Kyiv,-1.1,Celsius,Clouds,"scattered clouds","2023-11-19 12:36:41"
381,Bucharest,3.71,Celsius,Clear,"clear sky","2023-11-19 12:36:41"
382,Paris,13.98,Celsius,Clouds,"broken clouds","2023-11-19 12:36:42"
383,Vienna,2.84,Celsius,Rain,"light rain","2023-11-19 12:36:42"
384,Minsk,-1.14,Celsius,Clouds,"overcast clouds","2023-11-19 12:36:42"
385,Warsaw,-0.28,Celsius,Clouds,"overcast clouds","2023-11-19 12:36:42"
386,Budapest,1.11,Celsius,Clear,"clear sky","2023-11-19 12:36:42"
387,Hamburg,6.65,Celsius,Clouds,"overcast clouds","2023-11-19 12:36:42"
388,Belgrade,0.37,Celsius,Clear,"clear sky","2023-11-19 12:36:42"
389,Munich,8.06,Celsius,Rain,"moderate rain","2023-11-19 12:36:43"
390,Barcelona,14.72,Celsius,Clouds,"broken clouds","2023-11-19 12:36:43"
391,Milan,5.26,Celsius,Clear,"clear sky","2023-11-19 12:36:43"
392,Kharkiv,-0.05,Celsius,Clouds,"overcast clouds","2023-11-19 12:36:43"
393,Vilnius,-0.72,Celsius,Clouds,"overcast clouds","2023-11-19 12:36:43"
