id,type,type_id
tm178712,MOVIE,1
tm71119,MOVIE,1
tm33545,MOVIE,1
tm455636,MOVIE,1
tm77348,MOVIE,1
tm21956,MOVIE,1
tm30289,MOVIE,1
tm172482,MOVIE,1
tm77863,MOVIE,1
tm199700,MOVIE,1
tm178323,MOVIE,1
tm84316,MOVIE,1
tm22989,MOVIE,1
ts20544,SHOW,2
tm84371,MOVIE,1
tm74780,MOVIE,1
tm26897,MOVIE,1
tm78067,MOVIE,1
tm233317,MOVIE,1
tm150260,MOVIE,1
tm22558,MOVIE,1
tm161029,MOVIE,1
tm22493,MOVIE,1
ts55939,SHOW,2
ts11313,SHOW,2
tm133374,MOVIE,1
tm25029,MOVIE,1
tm129971,MOVIE,1
tm87484,MOVIE,1
tm109137,MOVIE,1
tm78671,MOVIE,1
ts4,SHOW,2
ts13411,SHOW,2
ts86169,SHOW,2
tm80455,MOVIE,1
tm21155,MOVIE,1
tm85563,MOVIE,1
tm81864,MOVIE,1
tm184224,MOVIE,1
tm64729,MOVIE,1
tm104933,MOVIE,1
ts35155,SHOW,2
tm192431,MOVIE,1
ts18465,SHOW,2
tm44530,MOVIE,1
ts22018,SHOW,2
tm176356,MOVIE,1
tm85369,MOVIE,1
ts33559,SHOW,2
ts52849,SHOW,2
tm83786,MOVIE,1
tm241875,MOVIE,1
tm154187,MOVIE,1
tm80059,MOVIE,1
tm76399,MOVIE,1
tm456513,MOVIE,1
ts12787,SHOW,2
tm681578,MOVIE,1
tm838765,MOVIE,1
tm466255,MOVIE,1
tm822907,MOVIE,1
tm467735,MOVIE,1
ts20526,SHOW,2
tm123789,MOVIE,1
ts89331,SHOW,2
tm466850,MOVIE,1
ts89326,SHOW,2
tm681614,MOVIE,1
tm884616,MOVIE,1
ts190462,SHOW,2
tm994923,MOVIE,1
tm460149,MOVIE,1
tm474405,MOVIE,1
ts89231,SHOW,2
ts89259,SHOW,2
tm893816,MOVIE,1
ts188861,SHOW,2
ts89895,SHOW,2
tm469400,MOVIE,1
ts90234,SHOW,2
ts89347,SHOW,2
tm467299,MOVIE,1
tm464435,MOVIE,1
ts191698,SHOW,2
ts89832,SHOW,2
tm679284,MOVIE,1
ts235758,SHOW,2
ts190452,SHOW,2
tm462809,MOVIE,1
ts189422,SHOW,2
ts223344,SHOW,2
tm810642,MOVIE,1
tm464284,MOVIE,1
tm469966,MOVIE,1
tm461349,MOVIE,1
tm684591,MOVIE,1
tm679270,MOVIE,1
tm848261,MOVIE,1
tm857461,MOVIE,1
ts189314,SHOW,2
ts192297,SHOW,2
tm467955,MOVIE,1
tm468824,MOVIE,1
ts89330,SHOW,2
tm838705,MOVIE,1
ts192440,SHOW,2
tm925218,MOVIE,1
tm475430,MOVIE,1
ts191285,SHOW,2
tm1001095,MOVIE,1
ts225651,SHOW,2
tm841825,MOVIE,1
tm981475,MOVIE,1
tm27275,MOVIE,1
ts188840,SHOW,2
ts42014,SHOW,2
tm1020073,MOVIE,1
tm466854,MOVIE,1
tm466832,MOVIE,1
tm469025,MOVIE,1
tm45720,MOVIE,1
ts192196,SHOW,2
ts89740,SHOW,2
ts42432,SHOW,2
ts187443,SHOW,2
tm467467,MOVIE,1
ts287438,SHOW,2
tm855340,MOVIE,1
tm683841,MOVIE,1
tm678022,MOVIE,1
ts85568,SHOW,2
tm1098060,MOVIE,1
tm33067,MOVIE,1
tm678035,MOVIE,1
tm883189,MOVIE,1
ts90023,SHOW,2
ts288350,SHOW,2
ts90980,SHOW,2
tm675820,MOVIE,1
tm166321,MOVIE,1
tm857051,MOVIE,1
ts91087,SHOW,2
tm840723,MOVIE,1
tm469193,MOVIE,1
tm827508,MOVIE,1
tm216753,MOVIE,1
ts87884,SHOW,2
ts90093,SHOW,2
tm468651,MOVIE,1
ts187541,SHOW,2
ts221891,SHOW,2
tm362072,MOVIE,1
tm933826,MOVIE,1
tm921416,MOVIE,1
tm886214,MOVIE,1
tm854786,MOVIE,1
tm1038327,MOVIE,1
ts311985,SHOW,2
tm940566,MOVIE,1
ts188367,SHOW,2
tm677904,MOVIE,1
ts191121,SHOW,2
tm474721,MOVIE,1
ts90511,SHOW,2
ts90995,SHOW,2
tm474618,MOVIE,1
tm473813,MOVIE,1
ts189405,SHOW,2
ts185885,SHOW,2
tm60292,MOVIE,1
tm65839,MOVIE,1
tm73058,MOVIE,1
ts90902,SHOW,2
tm472411,MOVIE,1
ts90063,SHOW,2
ts187386,SHOW,2
tm916997,MOVIE,1
tm674494,MOVIE,1
tm676905,MOVIE,1
ts90466,SHOW,2
tm674099,MOVIE,1
tm675171,MOVIE,1
tm472231,MOVIE,1
tm674063,MOVIE,1
ts235655,SHOW,2
tm886193,MOVIE,1
ts187070,SHOW,2
tm676311,MOVIE,1
tm856375,MOVIE,1
tm1023388,MOVIE,1
tm470252,MOVIE,1
ts188991,SHOW,2
ts90640,SHOW,2
tm674135,MOVIE,1
tm673809,MOVIE,1
tm678851,MOVIE,1
tm885775,MOVIE,1
tm826563,MOVIE,1
tm675214,MOVIE,1
ts88821,SHOW,2
tm670553,MOVIE,1
tm884581,MOVIE,1
tm863823,MOVIE,1
ts3666,SHOW,2
ts58155,SHOW,2
tm813372,MOVIE,1
ts88352,SHOW,2
tm814150,MOVIE,1
tm507191,MOVIE,1
ts214463,SHOW,2
ts214462,SHOW,2
tm474496,MOVIE,1
tm851912,MOVIE,1
ts91039,SHOW,2
tm1167440,MOVIE,1
tm813695,MOVIE,1
tm813078,MOVIE,1
ts214192,SHOW,2
ts214280,SHOW,2
tm813634,MOVIE,1
tm834715,MOVIE,1
ts89679,SHOW,2
ts213232,SHOW,2
tm65142,MOVIE,1
tm475836,MOVIE,1
tm813936,MOVIE,1
ts103209,SHOW,2
tm813938,MOVIE,1
tm475783,MOVIE,1
tm95252,MOVIE,1
tm813929,MOVIE,1
ts214579,SHOW,2
ts296153,SHOW,2
tm983730,MOVIE,1
ts213820,SHOW,2
tm920096,MOVIE,1
ts90696,SHOW,2
tm813423,MOVIE,1
tm810423,MOVIE,1
tm812916,MOVIE,1
ts213544,SHOW,2
tm813075,MOVIE,1
tm1038344,MOVIE,1
ts225716,SHOW,2
tm812998,MOVIE,1
tm812593,MOVIE,1
tm146887,MOVIE,1
ts254656,SHOW,2
tm812781,MOVIE,1
tm812783,MOVIE,1
ts213611,SHOW,2
tm811954,MOVIE,1
ts85515,SHOW,2
tm815438,MOVIE,1
ts215166,SHOW,2
tm983270,MOVIE,1
tm360618,MOVIE,1
tm59428,MOVIE,1
tm893799,MOVIE,1
ts87599,SHOW,2
ts215178,SHOW,2
ts252505,SHOW,2
ts216493,SHOW,2
tm816038,MOVIE,1
tm31564,MOVIE,1
ts76793,SHOW,2
ts215012,SHOW,2
tm993435,MOVIE,1
ts215046,SHOW,2
tm811971,MOVIE,1
tm815509,MOVIE,1
ts214861,SHOW,2
ts215037,SHOW,2
ts254568,SHOW,2
tm816983,MOVIE,1
tm816992,MOVIE,1
tm814894,MOVIE,1
tm821143,MOVIE,1
tm817075,MOVIE,1
tm816591,MOVIE,1
ts215378,SHOW,2
tm816593,MOVIE,1
tm819950,MOVIE,1
tm1031016,MOVIE,1
tm818266,MOVIE,1
tm1002815,MOVIE,1
tm818154,MOVIE,1
ts215869,SHOW,2
ts215862,SHOW,2
tm454824,MOVIE,1
tm453862,MOVIE,1
tm818239,MOVIE,1
tm832916,MOVIE,1
tm814953,MOVIE,1
tm836674,MOVIE,1
ts215989,SHOW,2
ts216513,SHOW,2
tm935388,MOVIE,1
ts246178,SHOW,2
tm1113921,MOVIE,1
tm819641,MOVIE,1
ts216474,SHOW,2
ts216407,SHOW,2
tm819054,MOVIE,1
ts215683,SHOW,2
tm819841,MOVIE,1
tm819497,MOVIE,1
tm817542,MOVIE,1
ts215951,SHOW,2
tm819107,MOVIE,1
tm819016,MOVIE,1
ts215691,SHOW,2
tm834291,MOVIE,1
tm833638,MOVIE,1
tm817284,MOVIE,1
ts216744,SHOW,2
ts27459,SHOW,2
tm33113,MOVIE,1
tm974366,MOVIE,1
tm821662,MOVIE,1
ts237722,SHOW,2
tm821789,MOVIE,1
ts217045,SHOW,2
ts282155,SHOW,2
ts217050,SHOW,2
tm820190,MOVIE,1
tm938227,MOVIE,1
tm935895,MOVIE,1
ts89656,SHOW,2
tm38896,MOVIE,1
ts288489,SHOW,2
tm822099,MOVIE,1
tm822167,MOVIE,1
ts217231,SHOW,2
tm822210,MOVIE,1
tm822246,MOVIE,1
tm822271,MOVIE,1
tm822272,MOVIE,1
tm908529,MOVIE,1
ts41961,SHOW,2
ts217356,SHOW,2
ts217389,SHOW,2
tm823488,MOVIE,1
tm822502,MOVIE,1
ts85822,SHOW,2
tm856634,MOVIE,1
tm822596,MOVIE,1
tm821164,MOVIE,1
tm1147890,MOVIE,1
ts223308,SHOW,2
tm898474,MOVIE,1
tm860261,MOVIE,1
ts89291,SHOW,2
ts218569,SHOW,2
ts218564,SHOW,2
tm827168,MOVIE,1
tm847998,MOVIE,1
ts90356,SHOW,2
ts218500,SHOW,2
ts218504,SHOW,2
ts271726,SHOW,2
ts218000,SHOW,2
tm825934,MOVIE,1
tm825952,MOVIE,1
tm1075215,MOVIE,1
tm825714,MOVIE,1
ts217719,SHOW,2
ts218367,SHOW,2
tm840196,MOVIE,1
tm894619,MOVIE,1
ts218277,SHOW,2
ts218307,SHOW,2
tm24576,MOVIE,1
ts218176,SHOW,2
tm948128,MOVIE,1
tm832903,MOVIE,1
tm898614,MOVIE,1
ts256853,SHOW,2
tm825210,MOVIE,1
tm983658,MOVIE,1
ts37200,SHOW,2
tm825102,MOVIE,1
ts90095,SHOW,2
tm1093099,MOVIE,1
ts218776,SHOW,2
tm827304,MOVIE,1
tm1020820,MOVIE,1
tm835869,MOVIE,1
ts219895,SHOW,2
tm929630,MOVIE,1
tm47325,MOVIE,1
tm830151,MOVIE,1
tm39896,MOVIE,1
tm824566,MOVIE,1
ts218802,SHOW,2
ts219660,SHOW,2
tm933639,MOVIE,1
tm977478,MOVIE,1
ts21979,SHOW,2
tm931436,MOVIE,1
ts213071,SHOW,2
tm827142,MOVIE,1
ts219561,SHOW,2
ts80959,SHOW,2
ts279892,SHOW,2
tm843938,MOVIE,1
tm827648,MOVIE,1
ts219423,SHOW,2
ts219422,SHOW,2
tm828570,MOVIE,1
ts296472,SHOW,2
ts252758,SHOW,2
tm160361,MOVIE,1
ts219162,SHOW,2
ts289334,SHOW,2
tm1042481,MOVIE,1
tm830833,MOVIE,1
tm832843,MOVIE,1
tm827216,MOVIE,1
tm832844,MOVIE,1
tm919106,MOVIE,1
tm827640,MOVIE,1
tm832684,MOVIE,1
tm820338,MOVIE,1
ts220751,SHOW,2
ts219101,SHOW,2
tm832463,MOVIE,1
tm824559,MOVIE,1
tm832345,MOVIE,1
tm832289,MOVIE,1
tm824560,MOVIE,1
tm918706,MOVIE,1
ts256007,SHOW,2
ts300391,SHOW,2
ts220553,SHOW,2
ts223084,SHOW,2
ts220552,SHOW,2
tm993838,MOVIE,1
tm29028,MOVIE,1
tm831934,MOVIE,1
tm932609,MOVIE,1
tm831873,MOVIE,1
tm828317,MOVIE,1
ts220196,SHOW,2
ts220305,SHOW,2
ts287836,SHOW,2
ts221851,SHOW,2
tm31335,MOVIE,1
ts225657,SHOW,2
tm828326,MOVIE,1
tm833361,MOVIE,1
tm836501,MOVIE,1
tm849323,MOVIE,1
ts236182,SHOW,2
ts221174,SHOW,2
tm885805,MOVIE,1
tm76835,MOVIE,1
tm852662,MOVIE,1
ts22011,SHOW,2
tm76029,MOVIE,1
ts287722,SHOW,2
tm835512,MOVIE,1
tm945448,MOVIE,1
tm836077,MOVIE,1
ts42156,SHOW,2
ts222049,SHOW,2
tm834664,MOVIE,1
tm820116,MOVIE,1
tm833216,MOVIE,1
tm835958,MOVIE,1
tm824855,MOVIE,1
ts221200,SHOW,2
ts271517,SHOW,2
tm835486,MOVIE,1
ts222599,SHOW,2
ts221151,SHOW,2
tm835445,MOVIE,1
tm835432,MOVIE,1
tm834608,MOVIE,1
ts221363,SHOW,2
ts222362,SHOW,2
ts222512,SHOW,2
tm848443,MOVIE,1
tm845594,MOVIE,1
tm867288,MOVIE,1
tm862830,MOVIE,1
tm922788,MOVIE,1
ts87372,SHOW,2
tm867681,MOVIE,1
tm918373,MOVIE,1
ts216522,SHOW,2
tm837843,MOVIE,1
ts223450,SHOW,2
ts222367,SHOW,2
ts282131,SHOW,2
tm27484,MOVIE,1
tm885669,MOVIE,1
tm836449,MOVIE,1
ts223238,SHOW,2
tm924556,MOVIE,1
ts144323,SHOW,2
tm838022,MOVIE,1
tm852060,MOVIE,1
ts228255,SHOW,2
tm839479,MOVIE,1
ts228502,SHOW,2
ts321918,SHOW,2
tm140389,MOVIE,1
tm868777,MOVIE,1
ts237972,SHOW,2
tm987730,MOVIE,1
tm840208,MOVIE,1
tm972519,MOVIE,1
ts222333,SHOW,2
ts255926,SHOW,2
tm890660,MOVIE,1
tm840236,MOVIE,1
ts222634,SHOW,2
tm869307,MOVIE,1
tm869475,MOVIE,1
tm1027177,MOVIE,1
ts221749,SHOW,2
ts223659,SHOW,2
tm841239,MOVIE,1
ts229123,SHOW,2
ts222625,SHOW,2
tm854876,MOVIE,1
tm919961,MOVIE,1
tm842976,MOVIE,1
tm840216,MOVIE,1
tm840438,MOVIE,1
tm863514,MOVIE,1
ts222455,SHOW,2
tm840224,MOVIE,1
ts222803,SHOW,2
ts223110,SHOW,2
tm842869,MOVIE,1
ts229335,SHOW,2
tm27168,MOVIE,1
tm850454,MOVIE,1
tm1160424,MOVIE,1
tm1110241,MOVIE,1
tm1002408,MOVIE,1
tm844201,MOVIE,1
tm845942,MOVIE,1
ts229537,SHOW,2
ts222980,SHOW,2
ts188031,SHOW,2
tm75544,MOVIE,1
ts229700,SHOW,2
tm141648,MOVIE,1
tm982470,MOVIE,1
tm1036797,MOVIE,1
ts222942,SHOW,2
ts222687,SHOW,2
ts223098,SHOW,2
tm888243,MOVIE,1
tm863611,MOVIE,1
tm1092864,MOVIE,1
tm156001,MOVIE,1
ts223240,SHOW,2
tm858954,MOVIE,1
ts222835,SHOW,2
tm871330,MOVIE,1
tm844662,MOVIE,1
tm1027639,MOVIE,1
tm843276,MOVIE,1
ts272185,SHOW,2
ts23319,SHOW,2
ts222802,SHOW,2
tm852775,MOVIE,1
tm984204,MOVIE,1
tm148147,MOVIE,1
tm1187913,MOVIE,1
tm844642,MOVIE,1
ts222933,SHOW,2
ts226468,SHOW,2
tm863829,MOVIE,1
ts87361,SHOW,2
tm846166,MOVIE,1
tm1166288,MOVIE,1
ts68146,SHOW,2
tm845616,MOVIE,1
ts221041,SHOW,2
tm936236,MOVIE,1
tm856378,MOVIE,1
tm1022912,MOVIE,1
tm849599,MOVIE,1
ts222864,SHOW,2
tm1151272,MOVIE,1
ts223126,SHOW,2
tm979182,MOVIE,1
ts270910,SHOW,2
ts222917,SHOW,2
tm845607,MOVIE,1
tm845020,MOVIE,1
tm846586,MOVIE,1
tm830795,MOVIE,1
ts12815,SHOW,2
ts223210,SHOW,2
tm843768,MOVIE,1
tm844513,MOVIE,1
ts222901,SHOW,2
tm977704,MOVIE,1
ts223537,SHOW,2
ts227473,SHOW,2
tm1110205,MOVIE,1
tm998033,MOVIE,1
ts222606,SHOW,2
tm976519,MOVIE,1
tm845532,MOVIE,1
tm847630,MOVIE,1
tm872108,MOVIE,1
tm845415,MOVIE,1
tm846964,MOVIE,1
ts223589,SHOW,2
tm845535,MOVIE,1
tm845484,MOVIE,1
ts219080,SHOW,2
ts87471,SHOW,2
tm844208,MOVIE,1
tm872496,MOVIE,1
tm897794,MOVIE,1
ts218890,SHOW,2
tm919864,MOVIE,1
ts223981,SHOW,2
tm990972,MOVIE,1
tm872732,MOVIE,1
ts223982,SHOW,2
ts230973,SHOW,2
tm1142245,MOVIE,1
tm143938,MOVIE,1
tm873159,MOVIE,1
ts231159,SHOW,2
ts224261,SHOW,2
tm983722,MOVIE,1
tm898699,MOVIE,1
tm847085,MOVIE,1
ts314742,SHOW,2
ts231260,SHOW,2
tm873354,MOVIE,1
tm873357,MOVIE,1
tm855827,MOVIE,1
ts223759,SHOW,2
tm946795,MOVIE,1
tm850822,MOVIE,1
tm873655,MOVIE,1
ts75263,SHOW,2
tm847629,MOVIE,1
tm851860,MOVIE,1
ts223456,SHOW,2
tm941531,MOVIE,1
ts80720,SHOW,2
tm1019865,MOVIE,1
tm844978,MOVIE,1
ts221472,SHOW,2
ts223121,SHOW,2
tm1166024,MOVIE,1
tm942240,MOVIE,1
tm131038,MOVIE,1
tm839761,MOVIE,1
tm854454,MOVIE,1
ts225539,SHOW,2
ts226410,SHOW,2
tm851128,MOVIE,1
ts288353,SHOW,2
ts82085,SHOW,2
tm839411,MOVIE,1
ts223948,SHOW,2
tm848444,MOVIE,1
tm863992,MOVIE,1
tm62369,MOVIE,1
tm851346,MOVIE,1
ts224906,SHOW,2
ts232107,SHOW,2
ts284885,SHOW,2
